(0.688, 0.328)
(0.689, 0.326)
(0.691, 0.319)
(0.693, 0.311)
(0.693, 0.311)
(0.693, 0.31)
(0.691, 0.307)
(0.691, 0.308)
(0.688, 0.313)
(0.688, 0.313)
(0.688, 0.313)
(0.689, 0.313)
(0.689, 0.313)
(0.689, 0.313)
(0.689, 0.313)
(0.692, 0.313)
(0.692, 0.313)
(0.692, 0.313)
(0.692, 0.313)
(0.692, 0.313)
(0.692, 0.313)
(0.692, 0.313)
(0.692, 0.313)
(0.692, 0.313)
(0.692, 0.313)
(0.692, 0.313)
(0.692, 0.313)
(0.694, 0.31)
(0.694, 0.31)
(0.694, 0.31)
(0.694, 0.31)
(0.694, 0.31)
(0.694, 0.31)
(0.694, 0.31)
(0.694, 0.31)
(0.694, 0.31)
(0.694, 0.31)
(0.694, 0.31)
(0.694, 0.31)
(0.694, 0.31)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.692, 0.316)
(0.693, 0.313)
(0.693, 0.313)
(0.693, 0.313)
(0.693, 0.313)
(0.693, 0.313)
(0.693, 0.313)
(0.693, 0.313)
(0.693, 0.313)
(0.697, 0.307)
(0.697, 0.307)
(0.697, 0.307)
(0.697, 0.307)
(0.697, 0.307)
(0.697, 0.307)
(0.697, 0.307)
